experiment_name,dataset,examples_per_class,warmup_epochs,optimizer,seed,best_val_acc,final_val_acc,training_time_seconds,total_epochs,batch_size
cifar100_100epc_w5_sgd_s42,cifar100,100,5,sgd,42,49.71,49.59,309.90651535987854,85,256
cifar100_100epc_w10_sgd_s42,cifar100,100,10,sgd,42,51.26,50.81,314.551873922348,85,256
cifar100_100epc_w20_sgd_s42,cifar100,100,20,sgd,42,51.88,51.85,310.31774735450745,85,256
cifar100_50epc_w0_sgd_s42,cifar100,50,0,sgd,42,32.98,32.8,226.1095130443573,85,256
cifar100_50epc_w1_sgd_s42,cifar100,50,1,sgd,42,30.85,30.69,223.43259072303772,85,256
cifar100_50epc_w5_sgd_s42,cifar100,50,5,sgd,42,35.0,34.96,225.37050700187683,85,256
cifar100_50epc_w10_sgd_s42,cifar100,50,10,sgd,42,33.91,33.77,224.0483889579773,85,256
cifar100_50epc_w20_sgd_s42,cifar100,50,20,sgd,42,33.4,33.23,224.25681900978088,85,256
medmnist_5000epc_w0_sgd_s42,medmnist,5000,0,sgd,42,89.77715877437326,88.57938718662953,534.6805500984192,85,256
medmnist_5000epc_w1_sgd_s42,medmnist,5000,1,sgd,42,90.45961002785515,88.96935933147633,536.4662528038025,85,256
medmnist_5000epc_w5_sgd_s42,medmnist,5000,5,sgd,42,91.39275766016713,89.98607242339833,535.0414724349976,85,256
medmnist_5000epc_w10_sgd_s42,medmnist,5000,10,sgd,42,92.11699164345404,90.98885793871867,532.5575861930847,85,256
medmnist_5000epc_w20_sgd_s42,medmnist,5000,20,sgd,42,91.74094707520891,90.34818941504179,536.3193016052246,85,256
medmnist_1000epc_w0_sgd_s42,medmnist,1000,0,sgd,42,82.36768802228413,78.45403899721448,180.71853065490723,85,256
medmnist_1000epc_w1_sgd_s42,medmnist,1000,1,sgd,42,79.70752089136491,76.72701949860725,183.82854890823364,85,256
medmnist_1000epc_w5_sgd_s42,medmnist,1000,5,sgd,42,81.18384401114206,79.5125348189415,183.0868742465973,85,256
medmnist_1000epc_w10_sgd_s42,medmnist,1000,10,sgd,42,84.3175487465181,82.72980501392757,183.38606357574463,85,256
medmnist_1000epc_w20_sgd_s42,medmnist,1000,20,sgd,42,83.85793871866295,82.86908077994428,184.40498280525208,85,256
medmnist_500epc_w0_sgd_s42,medmnist,500,0,sgd,42,78.53760445682451,75.26462395543176,139.42544507980347,85,256
